AREA,PERIMETER,PLSNET_,PLSNET_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,HYDROAREA,BASIN,REGIONNAME,FRQ_SECNBA,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,REGION,CO_MTR
2638169.37803999986,6497.24413000000,127793.00000000000,129365.00000000000,15,S09N,19W,20,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.91586000000,34.85450000000,S,09N,S09N19W20,S09N19W,15S09N19W20,5,15S09N19W
2626625.49900999991,6483.57870000000,127794.00000000000,129366.00000000000,15,S09N,19W,21,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.89835000000,34.85430000000,S,09N,S09N19W21,S09N19W,15S09N19W21,5,15S09N19W
2708373.61059999978,6583.46945000000,127798.00000000000,129370.00000000000,15,S09N,11W,30,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.08654000000,34.84337000000,S,09N,S09N11W30,S09N11W,15S09N11W30,6,15S09N11W
2674815.00487999991,6542.13072000000,127804.00000000000,129376.00000000000,15,S09N,12W,25,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.10466000000,34.84318000000,S,09N,S09N12W25,S09N12W,15S09N12W25,6,15S09N12W
2652746.27491000015,6515.44556000000,127815.00000000000,129387.00000000000,15,S09N,12W,26,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.12256000000,34.84300000000,S,09N,S09N12W26,S09N12W,15S09N12W26,6,15S09N12W
2640610.22142999992,6493.11724000000,127832.00000000000,129404.00000000000,15,S09N,12W,27,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.14044000000,34.84284000000,S,09N,S09N12W27,S09N12W,15S09N12W27,6,15S09N12W
2616775.28245999990,6470.68987000000,127839.00000000000,129411.00000000000,15,S09N,12W,28,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.15821000000,34.84262000000,S,09N,S09N12W28,S09N12W,15S09N12W28,6,15S09N12W
2629522.67455000011,6487.14534000000,127852.00000000000,129424.00000000000,15,S09N,12W,29,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.17595000000,34.84235000000,S,09N,S09N12W29,S09N12W,15S09N12W29,6,15S09N12W
2573357.94016999984,6417.16264000000,127866.00000000000,129438.00000000000,15,S09N,12W,30,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.19370000000,34.84212000000,S,09N,S09N12W30,S09N12W,15S09N12W30,6,15S09N12W
2608219.03831999982,6460.17481000000,127876.00000000000,129448.00000000000,15,S09N,13W,25,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.21140000000,34.84197000000,S,09N,S09N13W25,S09N13W,15S09N13W25,6,15S09N13W
2582717.31348000001,6428.35477000000,127882.00000000000,129454.00000000000,15,S09N,13W,26,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.22909000000,34.84189000000,S,09N,S09N13W26,S09N13W,15S09N13W26,6,15S09N13W
2592714.83692000015,6437.98999000000,127888.00000000000,129460.00000000000,15,S09N,13W,27,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.24669000000,34.84189000000,S,09N,S09N13W27,S09N13W,15S09N13W27,6,15S09N13W
2605098.67040000018,6456.19381000000,127893.00000000000,129465.00000000000,15,S09N,13W,28,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.26428000000,34.84191000000,S,09N,S09N13W28,S09N13W,15S09N13W28,6,15S09N13W
2595854.32592000021,6444.74835000000,127903.00000000000,129475.00000000000,15,S09N,13W,29,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.28189000000,34.84188000000,S,09N,S09N13W29,S09N13W,15S09N13W29,6,15S09N13W
2643002.46582000004,6503.62882000000,127911.00000000000,129483.00000000000,15,S09N,13W,30,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.29974000000,34.84182000000,S,09N,S09N13W30,S09N13W,15S09N13W30,6,15S09N13W
2591908.21557000000,6440.11223000000,127924.00000000000,129496.00000000000,15,S09N,14W,25,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.31760000000,34.84167000000,S,09N,S09N14W25,S09N14W,15S09N14W25,6,15S09N14W
2591156.00926999981,6439.46251000000,127933.00000000000,129505.00000000000,15,S09N,14W,26,1,626.50000000000,62650,LAHONTAN,2.00000000000,-118.33517000000,34.84143000000,S,09N,S09N14W26,S09N14W,15S09N14W26,6,15S09N14W
2595089.40065000020,6444.31209000000,127934.00000000000,129506.00000000000,15,S09N,07W,32,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.64072000000,34.82954000000,S,09N,S09N07W32,S09N07W,15S09N07W32,6,15S09N07W
2639252.48376999982,6499.04397000000,127935.00000000000,129507.00000000000,15,S09N,07W,31,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.65843000000,34.82978000000,S,09N,S09N07W31,S09N07W,15S09N07W31,6,15S09N07W
2644587.12299000006,6505.26207000000,127938.00000000000,129510.00000000000,15,S09N,08W,36,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.67629000000,34.82991000000,S,09N,S09N08W36,S09N08W,15S09N08W36,6,15S09N08W
2638534.26344999997,6497.57564000000,127940.00000000000,129512.00000000000,15,S09N,08W,35,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.69413000000,34.83006000000,S,09N,S09N08W35,S09N08W,15S09N08W35,6,15S09N08W
2601479.26831000019,6451.64018000000,127942.00000000000,129514.00000000000,15,S09N,14W,27,1,626.40000000000,62640,LAHONTAN,2.00000000000,-118.35276000000,34.84122000000,S,09N,S09N14W27,S09N14W,15S09N14W27,6,15S09N14W
2623622.33300000010,6471.87977000000,127945.00000000000,129517.00000000000,15,S09N,20W,21,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-119.00373000000,34.84863000000,S,09N,S09N20W21,S09N20W,15S09N20W21,5,15S09N20W
1535.52542000000,197.01993000000,127947.00000000000,129519.00000000000,15,S09N,22W,19,1,312.30000000000,31230,CENTRAL COAST,1.00000000000,-119.27793000000,34.85757000000,S,09N,S09N22W19,S09N22W,15S09N22W19,3,15S09N22W
2658865.57885999978,6523.49712000000,127948.00000000000,129520.00000000000,15,S09N,20W,22,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.98576000000,34.84853000000,S,09N,S09N20W22,S09N20W,15S09N20W22,5,15S09N20W
2605367.35407999996,6456.83566000000,127949.00000000000,129521.00000000000,15,S09N,08W,34,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.71196000000,34.83019000000,S,09N,S09N08W34,S09N08W,15S09N08W34,6,15S09N08W
2533122.22716999985,6366.34279000000,127952.00000000000,129524.00000000000,15,S09N,20W,23,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.96794000000,34.84836000000,S,09N,S09N20W23,S09N20W,15S09N20W23,5,15S09N20W
2603421.24512000009,6446.30103000000,127953.00000000000,129525.00000000000,15,S09N,14W,28,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.37037000000,34.84114000000,S,09N,S09N14W28,S09N14W,15S09N14W28,6,15S09N14W
2493329.08911000006,6316.03039000000,127957.00000000000,129529.00000000000,15,S09N,20W,24,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.95053000000,34.84819000000,S,09N,S09N20W24,S09N20W,15S09N20W24,5,15S09N20W
2614610.70326999994,6469.22886000000,127958.00000000000,129530.00000000000,15,S09N,22W,21,1,312.30000000000,31230,CENTRAL COAST,2.00000000000,-119.23453000000,34.85033000000,S,09N,S09N22W21,S09N22W,15S09N22W21,3,15S09N22W
2654433.10913000023,6517.49217000000,127959.00000000000,129531.00000000000,15,S09N,22W,22,1,312.30000000000,31230,CENTRAL COAST,1.00000000000,-119.21658000000,34.85013000000,S,09N,S09N22W22,S09N22W,15S09N22W22,3,15S09N22W
2617245.12943999982,6471.92357000000,127960.00000000000,129532.00000000000,15,S09N,08W,33,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.72977000000,34.83039000000,S,09N,S09N08W33,S09N08W,15S09N08W33,6,15S09N08W
