AREA,PERIMETER,PLS16_,PLS16_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS
2622552.10815,6477.78822,85,14435407,16,M18S,21E,06,-119.73483,36.39489,M,18S,M18S21E06,M18S21E,16M18S21E06
2558318.93861,6398.17098,86,14639019,16,M18S,19E,05,-119.93118,36.39511,M,18S,M18S19E05,M18S19E,16M18S19E05
2577138.72806,6421.71650,87,14639025,16,M18S,19E,06,-119.94911,36.39490,M,18S,M18S19E06,M18S19E,16M18S19E06
2770568.17514,6637.27975,88,14435670,16,M18S,20E,11,-119.77096,36.38084,M,18S,M18S20E11,M18S20E,16M18S20E11
2613114.35718,6458.90744,89,14639284,16,M18S,23E,07,-119.51912,36.38049,M,18S,M18S23E07,M18S23E,16M18S23E07
2669549.56458,6548.61071,90,14639285,16,M18S,23E,08,-119.50114,36.37998,M,18S,M18S23E08,M18S23E,16M18S23E08
2616305.56946,6475.32803,91,14639289,16,M18S,22E,12,-119.53706,36.38042,M,18S,M18S22E12,M18S22E,16M18S22E12
2445484.07747,6257.01900,92,14639295,16,M18S,20E,07,-119.84191,36.38125,M,18S,M18S20E07,M18S20E,16M18S20E07
2578494.58709,6424.86047,93,14639296,16,M18S,20E,08,-119.82451,36.38125,M,18S,M18S20E08,M18S20E,16M18S20E08
2582023.61332,6426.82278,94,14639302,16,M18S,19E,12,-119.85928,36.38121,M,18S,M18S19E12,M18S19E,16M18S19E12
2562180.42305,6403.39129,95,14639304,16,M18S,20E,09,-119.80649,36.38118,M,18S,M18S20E09,M18S20E,16M18S20E09
2645198.31418,6504.44094,96,14435695,16,M18S,22E,11,-119.55500,36.38022,M,18S,M18S22E11,M18S22E,16M18S22E11
2610729.68513,6462.47929,97,14639307,16,M18S,19E,11,-119.87728,36.38115,M,18S,M18S19E11,M18S19E,16M18S19E11
2668143.63638,6530.57353,98,14435698,16,M18S,22E,10,-119.57302,36.38022,M,18S,M18S22E10,M18S22E,16M18S22E10
2581251.93031,6425.65034,99,14639310,16,M18S,19E,10,-119.89535,36.38110,M,18S,M18S19E10,M18S19E,16M18S19E10
2578618.98317,6442.52051,100,14435700,16,M18S,20E,10,-119.78862,36.38054,M,18S,M18S20E10,M18S20E,16M18S20E10
2661723.00238,6520.60733,101,14639313,16,M18S,23E,09,-119.48318,36.37958,M,18S,M18S23E09,M18S23E,16M18S23E09
2672514.67398,6535.76765,102,14435705,16,M18S,22E,09,-119.59105,36.38008,M,18S,M18S22E09,M18S22E,16M18S22E09
2543367.52362,6379.68487,103,14639318,16,M18S,19E,09,-119.91334,36.38105,M,18S,M18S19E09,M18S19E,16M18S19E09
2688358.07245,6568.95339,104,14435709,16,M18S,22E,08,-119.60910,36.38010,M,18S,M18S22E08,M18S22E,16M18S22E08
2603189.85294,6449.01796,105,14435712,16,M18S,22E,07,-119.62708,36.38016,M,18S,M18S22E07,M18S22E,16M18S22E07
2641684.78552,6500.86599,106,14435714,16,M18S,21E,12,-119.64503,36.38016,M,18S,M18S21E12,M18S21E,16M18S21E12
2623531.81139,6444.45807,107,14639326,16,M18S,19E,08,-119.93122,36.38048,M,18S,M18S19E08,M18S19E,16M18S19E08
2623068.97488,6482.51664,108,14435718,16,M18S,21E,11,-119.66306,36.38013,M,18S,M18S21E11,M18S21E,16M18S21E11
2701072.40793,6570.62015,109,14435720,16,M18S,20E,12,-119.75305,36.38028,M,18S,M18S20E12,M18S20E,16M18S20E12
2673534.57352,6550.55197,110,14435721,16,M18S,21E,07,-119.73495,36.38023,M,18S,M18S21E07,M18S21E,16M18S21E07
2648281.21490,6501.18943,111,14435723,16,M18S,21E,08,-119.71693,36.38014,M,18S,M18S21E08,M18S21E,16M18S21E08
2657237.70807,6515.91025,112,14639335,16,M18S,19E,07,-119.94913,36.38033,M,18S,M18S19E07,M18S19E,16M18S19E07
2642956.37051,6501.89445,113,14435725,16,M18S,21E,10,-119.68108,36.38000,M,18S,M18S21E10,M18S21E,16M18S21E10
2613947.46678,6471.91687,114,14435728,16,M18S,21E,09,-119.69904,36.38002,M,18S,M18S21E09,M18S21E,16M18S21E09
