AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2596591.55454,6446.89748,4749,106690,54,M24S,24E,23,-119.34766,35.82751,M,24S,M24S24E23,M24S24E,54M24S24E23,54M24S24E
2571517.20294,6401.89700,4750,106694,54,M24S,24E,22,-119.36537,35.82742,M,24S,M24S24E22,M24S24E,54M24S24E22,54M24S24E
2565755.79321,6418.61614,4751,106696,54,M24S,24E,21,-119.38311,35.82742,M,24S,M24S24E21,M24S24E,54M24S24E21,54M24S24E
2600764.54969,6451.45861,4752,106700,54,M24S,36E,30,-118.13856,35.81378,M,24S,M24S36E30,M24S36E,54M24S36E30,54M24S36E
2538875.36436,6378.97659,4753,106704,54,M24S,24E,20,-119.40093,35.82730,M,24S,M24S24E20,M24S24E,54M24S24E20,54M24S24E
2571183.37817,6414.79673,4754,106706,54,M24S,24E,19,-119.41878,35.82718,M,24S,M24S24E19,M24S24E,54M24S24E19,54M24S24E
2571608.46921,6416.60844,4755,106707,54,M24S,23E,24,-119.43663,35.82719,M,24S,M24S23E24,M24S23E,54M24S23E24,54M24S23E
2607605.93793,6460.31815,4756,106708,54,M24S,23E,23,-119.45458,35.82723,M,24S,M24S23E23,M24S23E,54M24S23E23,54M24S23E
2568739.94495,6413.42859,4757,106710,54,M24S,23E,22,-119.47255,35.82721,M,24S,M24S23E22,M24S23E,54M24S23E22,54M24S23E
2551310.34252,6389.50195,4758,106713,54,M24S,35E,25,-118.15631,35.81354,M,24S,M24S35E25,M24S35E,54M24S35E25,54M24S35E
2621752.04303,6476.58874,4759,106716,54,M24S,23E,20,-119.50830,35.82713,M,24S,M24S23E20,M24S23E,54M24S23E20,54M24S23E
2574926.49514,6422.81718,4760,106717,54,M24S,23E,21,-119.49038,35.82710,M,24S,M24S23E21,M24S23E,54M24S23E21,54M24S23E
2833528.17794,6739.81386,4761,106722,54,M24S,23E,19,-119.52706,35.82703,M,24S,M24S23E19,M24S23E,54M24S23E19,54M24S23E
2562787.90136,6403.82848,4762,106732,54,M24S,35E,26,-118.17393,35.81338,M,24S,M24S35E26,M24S35E,54M24S35E26,54M24S35E
2553577.70447,6392.22014,4763,106751,54,M24S,35E,27,-118.19158,35.81323,M,24S,M24S35E27,M24S35E,54M24S35E27,54M24S35E
2641163.64465,6501.18390,4764,106762,54,M24S,35E,28,-118.20949,35.81307,M,24S,M24S35E28,M24S35E,54M24S35E28,54M24S35E
2569267.02758,6411.60388,4765,106782,54,M24S,35E,29,-118.22747,35.81290,M,24S,M24S35E29,M24S35E,54M24S35E29,54M24S35E
2771066.17723,6663.23240,4766,106797,54,M24S,35E,30,-118.24589,35.81273,M,24S,M24S35E30,M24S35E,54M24S35E30,54M24S35E
2529627.51428,6362.15318,4767,106810,54,M24S,34E,25,-118.26419,35.81269,M,24S,M24S34E25,M24S34E,54M24S34E25,54M24S34E
2597615.73377,6447.36885,4768,106813,54,M24S,33E,29,-118.44310,35.81500,M,24S,M24S33E29,M24S33E,54M24S33E29,54M24S33E
2628448.01379,6488.61435,4769,106814,54,M24S,33E,28,-118.42525,35.81464,M,24S,M24S33E28,M24S33E,54M24S33E28,54M24S33E
2615094.92737,6468.86532,4770,106815,54,M24S,34E,26,-118.28198,35.81268,M,24S,M24S34E26,M24S34E,54M24S34E26,54M24S34E
2439710.28614,6250.49178,4771,106817,54,M24S,33E,30,-118.46041,35.81513,M,24S,M24S33E30,M24S33E,54M24S33E30,54M24S33E
2374650.31983,6223.79148,4772,106819,54,M24S,32E,25,-118.47699,35.81412,M,24S,M24S32E25,M24S32E,54M24S32E25,54M24S32E
