AREA,PERIMETER,PLS10_,PLS10_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2567548.92247000011,6409.49474367000,1050.00000000000,79745.00000000000,10,M10S,27E,06,1,-119.06948107500,37.08954051950,M,10S,M10S27E06,M10S27E,10M10S27E06,10M10S27E
2517176.61799999978,6346.60666106000,1051.00000000000,79747.00000000000,10,M10S,26E,01,1,-119.08735118800,37.08961755710,M,10S,M10S26E01,M10S26E,10M10S26E01,10M10S26E
2566531.83227000013,6408.31643142000,1052.00000000000,79748.00000000000,10,M10S,26E,02,1,-119.10518786700,37.08966288210,M,10S,M10S26E02,M10S26E,10M10S26E02,10M10S26E
2561825.81891999999,6400.99612059000,1053.00000000000,79752.00000000000,10,M10S,26E,03,1,-119.12314960800,37.08973030620,M,10S,M10S26E03,M10S26E,10M10S26E03,10M10S26E
2572068.19291999983,6416.65205374000,1054.00000000000,79754.00000000000,10,M10S,26E,04,1,-119.14110088400,37.08977497740,M,10S,M10S26E04,M10S26E,10M10S26E04,10M10S26E
2543909.18992999988,6380.37614027000,1055.00000000000,79756.00000000000,10,M10S,26E,05,1,-119.15895906200,37.08982411640,M,10S,M10S26E05,M10S26E,10M10S26E05,10M10S26E
2656026.46458999999,6519.57100609000,1056.00000000000,79759.00000000000,10,M10S,26E,06,1,-119.17708382700,37.08987718200,M,10S,M10S26E06,M10S26E,10M10S26E06,10M10S26E
2630568.78899999987,6487.62951637000,1057.00000000000,79765.00000000000,10,M10S,25E,01,1,-119.19550729500,37.08988809750,M,10S,M10S25E01,M10S25E,10M10S25E01,10M10S25E
2606667.96222000010,6458.23668719000,1058.00000000000,79768.00000000000,10,M10S,25E,02,1,-119.21386277400,37.08986372580,M,10S,M10S25E02,M10S25E,10M10S25E02,10M10S25E
2582226.21399000008,6428.13366129000,1059.00000000000,79774.00000000000,10,M10S,25E,03,1,-119.23218115000,37.08983099840,M,10S,M10S25E03,M10S25E,10M10S25E03,10M10S25E
2484431.15709999995,6305.29767604000,1060.00000000000,79781.00000000000,10,M10S,25E,04,1,-119.25020023300,37.08979564950,M,10S,M10S25E04,M10S25E,10M10S25E04,10M10S25E
